"id","item_name","action","field_name","old_value","new_value","changed_by","device_id","timestamp"
"119","NM","view_category","category_opened","","NM","GalinaMir","DEV-WUDU54","2026-03-14 18:07:18.212165"
"120","NM","view_category","category_opened","","NM","GalinaMir","DEV-WUDU54","2026-03-14 18:07:53.487964"
"121","NM","view_category","category_opened","","NM","GalinaMir","DEV-TYG2W1","2026-03-14 18:08:21.523471"
"122","NM","view_category","category_opened","","NM","GalinaMir","DEV-ET103M","2026-03-14 18:10:11.16874"
"123","NM","view_category","category_opened","","NM","GalinaMir","DEV-SY5SQ","2026-03-15 17:56:13.694058"
"124","NM","view_category","category_opened","","NM","Adrianna","DEV-HULV6L","2026-03-16 12:25:14.809436"
"125","NM","view_category","category_opened","","NM","Adrianna","DEV-BE37U4","2026-03-17 09:00:55.88251"
"126","Krzesla","view_category","category_opened","","Krzesla","Adrianna","DEV-BGXEMF","2026-03-17 09:00:57.892361"
"127","Ekspresy","view_category","category_opened","","Ekspresy","Adrianna","DEV-NQDQ4X","2026-03-17 09:01:44.932377"
"128","NM","view_category","category_opened","","NM","admin","DEV-HH6CSD","2026-03-17 09:53:21.839576"
"129","LADY","view_category","category_opened","","LADY","admin","DEV-HHVZ89","2026-03-17 09:53:22.36433"
"130","NM","view_category","category_opened","","NM","Adrianna","DEV-3B6U7E","2026-03-17 09:59:50.01298"
"131","Ekspresy","view_category","category_opened","","Ekspresy","Adrianna","DEV-XE7NZ7","2026-03-17 11:05:22.219778"
"132","Krzesla","view_category","category_opened","","Krzesla","Adrianna","DEV-W1CPTA","2026-03-17 11:05:43.995355"
"133","LADY","view_category","category_opened","","LADY","Adrianna","DEV-VI3QYX","2026-03-17 11:05:57.998703"
"134","NM","view_category","category_opened","","NM","Adrianna","DEV-5EL3DZ","2026-03-17 13:02:46.563054"
"135","NM","view_category","category_opened","","NM","admin","DEV-JS5KT5","2026-03-17 14:39:58.25699"
"136","NM","view_category","category_opened","","NM","moder","DEV-IU3I61","2026-03-17 14:40:15.996863"
"137","Historia","view_category","category_opened","","Historia","moder","DEV-ISZDVA","2026-03-17 14:40:18.343363"
