"name","quantity","ilosc","description","photo_url","wysokosc","szerokosc","glebokosc","data_wyjazdu","stan","updatedat","linknadysk","category","updatedby","deviceid","stoisko"
"NM027","Wkrętarka","1","Impact Drill Batch nr: 2152529 2016","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523858/NM027_qk4prb.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1q6Jr4iwEDyIBb9xEPATgdeBs2CGCgf0Y?usp=drive_link","NM",,,
"NM028","Szlifierka","1","WR-BS-1900
 WUBER","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523859/NM028_zrxkfo.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1wa_GjZQ0UsbPG2kyFcEwtAeN8lUBfl9H?usp=drive_link","NM",,,
"NM029","Wkrętarka","1","58G736 202111G00513
 graphite","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523862/NM029_woxxeo.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1fGwl1xJ78vxdPqOW_ueClUTm6kKDnTAg?usp=drive_link","NM",,,
"NM030","Gwoździarka","1","ns:2137474/160520          KITA CZERWONA","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521609/NM030_llf8pa.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1aTcmTDOsIzurg5GzOnyk2Em0_U5CI6ly?usp=drive_link","NM",,,
"NM032","Gwoździarka","1","Pomarańczowa       NP:12301068","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521610/NM032_patokv.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/16TcA6OD4-DQv8sdTEEsmsixZbtYS4NKD?usp=drive_link","NM",,,
"NM033","Zestaw Kluczy","1",,"https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523864/NM033_vlxfwh.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1R4e6MB59E_8kqCG8lUdllamFBnh6f2n-?usp=drive_link","NM",,,
"NM034","Gwoździarka","1","NS: 2169892/170831   OLEH CZERWONA","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521612/NM034_kels8c.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1J5SIuCyTBh6DdHdPgwNueVFRxj47ogCS?usp=drive_link","NM",,,
"NM035","Szlifierka","1","NS:2169892\170813","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523866/NM035_mjp6te.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1aoi1EsUebsvVjeSTtHy2lZt7tFtWOLCx?usp=drive_link","NM",,,
"NM036","Gumówka","1","G12SR4(S)    NS:P660374","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521271/IMG_0973_vhviy2.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/11rE91yBgjalQekCQh4iukFdOLn-txBDH?usp=drive_link","NM",,,
"NM037","Gumówka","1","2020/08/EB071417","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521270/IMG_0975_gralq4.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1ppB0Am--EGFHVzuAACX3VKa6AJGlpMAJ?usp=drive_link","NM",,,
"NM038","Ladowarka","1","2117","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523925/NM038_lfndud.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1PkyhKHZ1e2F4YdgN8hjTV15ZRX2Oh27p?usp=drive_link","NM",,,
"NM039","Ladowarka","1","TAM-97AA     02597","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760524064/NM039_dfw0wa.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1SOMdGyHm4R6ZwNm-9muW2jfUmrgWPfsR?usp=drive_link","NM",,,
"NM040","Ladowarka","1","4219","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760524065/NM040_qj4gyi.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/13JgrX_dCWdJXHEqSvJ2yG1XllW5B8dTl?usp=drive_link","NM",,,
"NM041","Wkrętarka akumulatorowa","1","MDD144-2","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760524067/NM041_z5wjfu.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1n350o6qdlQ9cFMSCLFzRd7kPKMDA0A0d?usp=drive_link","NM",,,
